A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2009.00119            |2020-09-30|LE MINERALE                   |TIRTA FRESHINDO JAYA, PT                                    |1350002
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1105.00004            |2011-05-31|ESIA NETWORK                  ||66000000
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1105.00078            |2011-05-31|ESIA NETWORK                  ||79968713
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1105.00130            |2011-05-31|ESIA NETWORK                  ||66000000
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1105.00298            |2011-05-31|ESIA MTSS                     ||70911401
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1106.00069            |2011-06-30|ESIA MTSS                     ||8883798
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1106.00195            |2011-06-30|ESIA NETWORK                  ||166409808
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1106.00197            |2011-06-30|ESIA MTSS                     ||94141740
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1107.00005            |2011-07-31|ESIA MTSS                     ||4640790
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1107.00154            |2011-07-31|ESIA NETWORK                  ||107139053
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||1107.00217            |2011-07-31|ESIA MTSS                     ||38673250
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||2011.00107            |2020-11-30|GG SIGNATURE                  |GUDANG GARAM, PT                                            |5016000
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||2011.00108            |2020-11-30|GUDANG GARAM SURYA            |GUDANG GARAM, PT                                            |11583000
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||2012.00128            |2020-12-31|GUDANG GARAM SURYA            |GUDANG GARAM, PT                                            |49005000
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||2012.00129            |2020-12-31|GUDANG GARAM SURYA            |GUDANG GARAM, PT                                            |220522500
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||2012.00130            |2020-12-31|GG SIGNATURE                  |GUDANG GARAM, PT                                            |287496000
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||2012.00131            |2020-12-31|GUDANG GARAM SURYA            |GUDANG GARAM, PT                                            |416542500
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||2101.00052            |2021-01-31|GUDANG GARAM SURYA            |GUDANG GARAM, PT                                            |749776500
D00008-SII  |DIAN MENTARI PRATAMA, PT                                    ||2101.00053            |2021-01-31|GG SIGNATURE                  |GUDANG GARAM, PT                                            |295482000
D00008-SSI  |DIAN MENTARI PRATAMA, PT                                    ||0904.01164            |2009-04-30|ESIA                          ||3900202
D00008-SSI  |DIAN MENTARI PRATAMA, PT                                    ||1108.00211            |2011-08-31|ESIA                          ||77000000
D00010-BTI  |DISCOVERY KARTIKA PLAZA BALI                                ||07.004.0289-08        |2008-07-31|DISCOVERY KARTIKA PLAZA BALI  ||20000000
D00013-BLI  |DUTA MEDIA, P                                               ||0090040388 - 04       |2004-09-30|||19600000
D00013-KSI  |DUTA MEDIA, P                                               ||009.0040008 -05       |2005-09-30|||5000000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||0903.00765            |2009-03-31|ADEM SARI                     ||440000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||0906.00068            |2009-06-30|VEGETA                        ||1847640
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||1103.00219            |2011-03-31|FATIGON C-PLUS                ||4960000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00024            |2020-12-28|ANTANGIN JRG                  |DELTOMED LABORATORIES.PT                                    |1680000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00066            |2020-12-28|DIABETASOL - MORINAGA SOYA    |SANGHIANG PERKASA, PT                                       |2266387
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00067            |2020-12-28|DIABETASOL - MORINAGA GUM     |SANGHIANG PERKASA, PT                                       |2590157
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00068            |2020-12-28|ENTRASOL SUSU - NUTRIVE BENECO|SANGHIANG PERKASA, PT                                       |5578801
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00069            |2020-12-28|HERBAMOJO                     |DELTOMED LABORATORIES.PT                                    |6116211
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00095            |2020-12-31|RUCIKA PIPE                   |WAHANA DUTA JAYA RUCIKA. PT                                 |3052631
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00121            |2020-12-31|MORINAGA GUM - PRENAGEN       |SANGHIANG PERKASA, PT                                       |2590157
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00122            |2020-12-31|MORINAGA SOYA - PRENAGEN      |SANGHIANG PERKASA, PT                                       |2590157
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00123            |2020-12-31|FITBAR - ENTRASOL SUSU        |SANGHIANG PERKASA, PT                                       |5736535
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00124            |2020-12-31|AIR SEJUK                     |SARI ENESIS INDAH.PT                                        |1000000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00125            |2020-12-31|HERBAMOJO                     |DELTOMED LABORATORIES.PT                                    |444445
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00126            |2020-12-31|ANTANGIN JRG                  |DELTOMED LABORATORIES.PT                                    |1111110
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00127            |2020-12-31|ANTIS                         |HERLINA INDAH , PT                                          |3100000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2012.00203            |2020-12-31|TORABIKA CREAMY LATTE         |TORABIKA EKA SEMESTA,PT                                     |6550002
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00016            |2021-01-25|AIR SEJUK                     |SARI ENESIS INDAH.PT                                        |2000000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00019            |2021-01-25|PRODUK KALBE - PRENAGEN       |SANGHIANG PERKASA, PT                                       |4856545
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00020            |2021-01-25|FITBAR - ENTRASOL SUSU        |SANGHIANG PERKASA, PT                                       |5578801
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00043            |2021-01-31|FIESTA                        |PRIMA FOOD INTERNATIONAL                                    |190476
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00044            |2021-01-31|AIR SEJUK ADEM SARI           |SARI ENESIS INDAH.PT                                        |2000000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00045            |2021-01-31|MORINAGA GUM - PRODUK KALBE   |SANGHIANG PERKASA, PT                                       |2590157
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00046            |2021-01-31|ADEM SARI SACHET              |SARI ENESIS INDAH.PT                                        |2000000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00047            |2021-01-31|MORINAGA SOYA - PRODUK KALBE  |SANGHIANG PERKASA, PT                                       |2590157
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00048            |2021-01-31|NUTRIVE BENECOL - FITBAR      |SANGHIANG PERKASA, PT                                       |5379558
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00049            |2021-01-31|HERBAMOJO                     |DELTOMED LABORATORIES.PT                                    |1888889
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00050            |2021-01-31|ANTANGIN JRG                  |DELTOMED LABORATORIES.PT                                    |4555555
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00051            |2021-01-31|ANTANGIN JRG                  |DELTOMED LABORATORIES.PT                                    |5700000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00147            |2021-01-31|DRINK BENG BENG               |TORABIKA EKA SEMESTA,PT                                     |800000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2101.00148            |2021-01-31|TORABIKA CREAMY LATTE         |TORABIKA EKA SEMESTA,PT                                     |2500000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00008            |2021-02-24|ADEM SARI SACHET              |SARI ENESIS INDAH.PT                                        |1000000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00037            |2021-02-24|AIR SEJUK ADEM SARI           |SARI ENESIS INDAH.PT                                        |1000000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00056            |2021-02-28|ANTANGIN JRG                  |DELTOMED LABORATORIES.PT                                    |222222
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00057            |2021-02-28|HYDRO COCO - FITBAR           |SANGHIANG PERKASA, PT                                       |5263332
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00058            |2021-02-28|RUCIKA PIPE                   |WAHANA DUTA JAYA RUCIKA. PT                                 |6496000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00059            |2021-02-28|PRENAGEN - MORINAGA GUM       |SANGHIANG PERKASA, PT                                       |1942620
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00060            |2021-02-28|PRENAGEN - MORINAGA SOYA      |SANGHIANG PERKASA, PT                                       |2266387
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00061            |2021-02-28|ANTANGIN JRG                  |DELTOMED LABORATORIES.PT                                    |5282000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00063            |2021-02-28|FIESTA                        |PRIMA FOOD INTERNATIONAL                                    |95238
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00162            |2021-02-28|ROMA MALKIST CAPPUCINO        |MAYORA INDAH TBK, PT                                        |1500000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00163            |2021-02-28|ROMA MALKIST CAPPUCINO        |MAYORA INDAH TBK, PT                                        |3000000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00164            |2021-02-28|ROMA MALKIST KEJU MANIS       |MAYORA INDAH TBK, PT                                        |2500000
D00014-SII  |DWI SAPTA PRATAMA, PT                                       ||2102.00165            |2021-02-28|TORABIKA CREAMY LATTE         |TORABIKA EKA SEMESTA,PT                                     |2500002
D00014-SSI  |DWI SAPTA PRATAMA, PT                                       ||2012.00065            |2020-12-28|RUCIKA PIPE                   |WAHANA DUTA JAYA RUCIKA. PT                                 |5000000
D00014-SSI  |DWI SAPTA PRATAMA, PT                                       ||2102.00009            |2021-02-24|FITBAR - ENTRASOL SUSU        |SANGHIANG PERKASA, PT                                       |5221823
D00014-SSI  |DWI SAPTA PRATAMA, PT                                       ||2102.00010            |2021-02-24|MORINAGA SOYA - PRENAGEN      |SANGHIANG PERKASA, PT                                       |2266387
D00014-SSI  |DWI SAPTA PRATAMA, PT                                       ||2102.00011            |2021-02-24|MORINAGA GUM - PRENAGEN       |SANGHIANG PERKASA, PT                                       |2590157
D00014-SSI  |DWI SAPTA PRATAMA, PT                                       ||2102.00062            |2021-02-28|SASHA TOOTHPASTE              |KINO INDONESIA,TBK. PT                                      |212473561
D00035-SII  |DEWI CITRA MANDIRI                                          ||1011.00049            |2010-11-22|KPAP DKI JAKARTA              ||7000000
D00086-SII  |DUTA ARIF SOLISI, PT                                        ||2102.00155            |2021-02-28|KEMENAKER                     |KEMENTRIAN TENAGA KERJA DAN TRANSMIGRASI RI                 |4500000
D00100-BLI  |DECAPITOL COMMUNICATION, CV                                 ||1501.00231            |2015-01-31|PERUSDA MIGAS KALTIM          |PERUSDA MIGAS KALTIM                                        |141181818
D00100-SII  |DECAPITOL COMMUNICATION, CV                                 ||1503.00054            |2015-03-31|PEMPROV JAWA BARAT            |PEMPROV JAWA BARAT                                          |143000000
D00100-SII  |DECAPITOL COMMUNICATION, CV                                 ||1503.00104            |2015-03-31|PEMPROV KALTIM                |PEMPROV KALIMANTAN TIMUR                                    |33000000
D00100-SII  |DECAPITOL COMMUNICATION, CV                                 ||1504.00039            |2015-04-30|PEMPROV KALTIM                |PEMPROV KALIMANTAN TIMUR                                    |66000000
D00103-SII  |DIAMON SENTRAL KREATIVISINDO, PT                            ||1406.00363            |2014-06-30|KEMDIKBUD                     |PUSAT INFORMASI DAN HUMAS KEMDIKBUD                         |593357888
D00103-SII  |DIAMON SENTRAL KREATIVISINDO, PT                            ||1407.00513            |2014-07-31|KEMDIKBUD                     |PUSAT INFORMASI DAN HUMAS KEMDIKBUD                         |365090853
D00103-SII  |DIAMON SENTRAL KREATIVISINDO, PT                            ||1408.00300            |2014-08-31|KEMDIKBUD                     |PUSAT INFORMASI DAN HUMAS KEMDIKBUD                         |188588091
D00110-SII  |DHARMAPENA CITRA MEDIA, PT                                  ||2011.00092            |2020-11-30|BCA CORPORATE                 |BANK CENTRAL ASIA                                           |721875
D00110-SII  |DHARMAPENA CITRA MEDIA, PT                                  ||2012.00094            |2020-12-31|BCA CORPORATE                 |BANK CENTRAL ASIA                                           |721875
D00110-SII  |DHARMAPENA CITRA MEDIA, PT                                  ||2101.00034            |2021-01-27|BCA CORPORATE                 |BANK CENTRAL ASIA                                           |39703125
D00110-SII  |DHARMAPENA CITRA MEDIA, PT                                  ||2102.00055            |2021-02-28|BCA CORPORATE                 |BANK CENTRAL ASIA                                           |73333334
D00111-SII  |DEBINDO MEGA PROMO, PT                                      ||1408.00001            |2014-08-11|GITA BAHANA NUSANTARA         ||3636363
D00113-SII  |DADALI PERKASA, PT                                          ||1403.00057A           |2014-03-31|BAWASLU                       |BAWASLU                                                     |3500000
D00114-SII  |DIGITAL MEDIA ASIA, PT                                      ||1405.00365A           |2014-05-31|VIVA+ WORLD CUP 2014          |VIVA MEDIA BARU, PT                                         |1511400000
D00147-BLI  |DANA SYARIAH INDONESIA, PT                                  ||2010.00058            |2020-10-27|DANA SYARIAH                  |DANA SYARIAH INDONESIA, PT                                  |1
D00147-SII  |DANA SYARIAH INDONESIA, PT                                  ||2011.00211            |2020-11-30|DANA SYARIAH                  |DANA SYARIAH INDONESIA, PT                                  |6753248
D00147-SII  |DANA SYARIAH INDONESIA, PT                                  ||2012.00083            |2020-12-28|DANA SYARIAH                  |DANA SYARIAH INDONESIA, PT                                  |2701299
D00147-SSI  |DANA SYARIAH INDONESIA, PT                                  ||2102.00043            |2021-02-24|DANA SYARIAH                  |DANA SYARIAH INDONESIA, PT                                  |150000000
D00155-SII  |DIREKTORAT JENDERAL PERHUBUNGAN UDARA KEMENTRIAN PERHUBUNGAN||1912.00039            |2019-12-10|DIREKTORAT JENDERAL PERHUBUNGA|DIREKTORAT JENDERAL PERHUBUNGAN UDARA KEMENTRIAN PERHUBUNGAN|38500000
D00157-SII  |DENTSU ISOPOST INDONESIA, PT                                ||2006.00014            |2020-06-26|TRAVELOKA                     |TRINUSA TRAVELINDO, PT                                      |1
D00164-BLI  |DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK PROV DKI JAKARTA||2012.00005            |2020-12-04|HADAPI PANDEMI DENGAN PLATFORM||30000
E00002-KSI  |ELOK KREASI INSANI, PT                                      ||0060040001 - 04       |2004-06-30|||580400000
E00005-BLI  |ESA LARAS FADY INTERNATIONAL                                ||1805.00095            |2018-05-24|KEMENTERIAN KEUANGAN          |KEMENTERIAN KEUANGAN RI                                     |150500000
E00005-SII  |ESA LARAS FADY INTERNATIONAL                                ||1801.00015            |2018-01-29|KEMENTERIAN PERTANIAN         |KEMENTRIAN PERTANIAN RI                                     |6250000
E00039-SII  |ERINI MUTIA YUFADA                                          ||1207.00068            |2012-07-31|ALEX - NONO                   ||675840000
E00063-BTI  |ELANG PERDANA TYRE INDUSTRY, PT                             ||1911.00126            |2019-11-27|ACCELERA BAN                  |ELANG PERDANA TYRE INDUSTRY, PT                             |327736362
F00001-SII  |FAJAR CHAYA BUANA, PT                                       ||010.0040290-06        |2006-10-31|ANDEC BONEETO                 ||9020088
F00001-SII  |FAJAR CHAYA BUANA, PT                                       ||06.004.0140-08        |2008-06-30|MITSUBISHI GRANDIS            ||300000
F00001-SII  |FAJAR CHAYA BUANA, PT                                       ||0907.00444            |2009-07-31|||13200000
F00003-BLI  |FORTUNE INDONESIA TBK, PT                                   ||09.004.0029-08        |2008-09-05|AGUNG PODOMORO                ||645000
F00003-BLI  |FORTUNE INDONESIA TBK, PT                                   ||10.004.0052-08        |2008-10-05|SEASONS CITY                  ||1290000
F00004-BTI  |FALCON PICTURES [FALCON INTERA                              ||0904.01173            |2009-04-30|IWAN FALS                     ||65340138
F00004-BTI  |FALCON PICTURES [FALCON INTERA                              ||0905.00123            |2009-05-31|IWAN FALS                     ||49965986
G00001-KSI  |G 2                                                         ||012.0040042-06        |2006-12-30|||64320300
G00001-SII  |G 2                                                         ||012.0040041-06        |2006-12-30|KONDOM ARTIKA                 ||1021900
G00002-SII  |GARUDA TV MEDIA INTERNATIONAL                               ||LS.003.1109.TV1       |2009-11-30|PROGRAM KABAR PETANG UNTUK 9 (||7425000
G00002-SII  |GARUDA TV MEDIA INTERNATIONAL                               ||LS.004.1109.TV1       |2009-11-30|JUDUL PROGRAM: KAWASAN DANGDUT||19800000
G00004-KSI  |GITA BAHANA PUTRI, PT                                       ||0010040243 - 04       |2004-01-31|||4400000
G00006-BTI  |GRAHA LAYAR PRIMA, PT                                       ||10.004.0095-08        |2008-10-05|BLITZ MEGAPLEX                ||35009999
G00008-SII  |GTWO, PT                                                    ||011.0040191-06        |2006-11-30|KONDOM ARTIKA                 ||63357800
G00009-BTI  |GUMAYA GRAHA MULIA, PT                                      ||06.004.0283-06        |2008-06-30|GUMAYA HOTEL                  ||48850000
G00019-BLI  |GRAHA SINEMA 89, CV                                         ||0909.00181            |2009-09-30|BAZNAZ                        ||125000000
G00047-SII  |GRAHA ANDRASENTRA PROPERTINDO, PT                           ||1108.00456            |2011-08-31|GRAHA ANDRASENTRA PROPERTINDO ||440000
G00047-SII  |GRAHA ANDRASENTRA PROPERTINDO, PT                           ||1109.00117            |2011-09-30|GRAHA ANDRASENTRA PROPERTINDO ||560000
G00092-SII  |GENERASI BARU DIGITAL, PT                                   ||1804.00108            |2018-04-26|FILLER LIPUTAN                |GENERASI BARU DIGITAL, PT                                   |3040000
G00101-SII  |GLOBAL MEDIA VISUAL, PT                                     ||2002.00115            |2020-02-27|CAFFINO                       |GLOBAL MEDIA VISUAL, PT                                     |55000000
G00101-SII  |GLOBAL MEDIA VISUAL, PT                                     ||2002.00116            |2020-02-27|CAFFINO                       |GLOBAL MEDIA VISUAL, PT                                     |55000000
H00002-BLI  |HNR PROMOSIND                                               ||1009.00301            |2010-09-30|DJARUM BLACK                  ||146500000
H00002-BLI  |HNR PROMOSIND                                               ||1010.00277            |2010-10-31|DJARUM BLACK                  ||198000000
H00002-BLI  |HNR PROMOSIND                                               ||1011.00309            |2010-11-30|DJARUM BLACK                  ||148500000
H00002-BLI  |HNR PROMOSIND                                               ||1012.00096            |2010-12-31|DJARUM BLACK                  ||49500000
H00002-BLI  |HNR PROMOSIND                                               ||1012.00211            |2010-12-31|DJARUM BLACK                  ||49500000
H00002-BLI  |HNR PROMOSIND                                               ||1101.00011            |2011-01-31|DJARUM BLACK                  ||49500000
H00002-BLI  |HNR PROMOSIND                                               ||1101.00113            |2011-01-31|DJARUM BLACK                  ||99000000
H00003-BTI  |HOTEL KARTIKA PLAZA BALI                                    ||07.004.0290-08        |2008-07-31|HOTEL KARTIKA PLAZA BALI      ||133685640
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||0901.00116            |2009-01-31|NEO ENTROSTOP                 ||1248000
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||0902.00384            |2009-02-28|NEO ENTROSTOP                 ||59424000
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||0903.00791            |2009-03-31|SPORTZ                        ||52800000
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||0904.01065            |2009-04-30|SPORTZ                        ||44000000
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||0905.00029            |2009-05-31|NEO ENTROSTOP                 ||27500000
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||0906.00136            |2009-06-30|NEO ENTROSTOP                 ||49500000
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||0907.00001            |2009-07-31|||16500000
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||12.004.0005-08        |2008-12-05|NEO ENTROSTOP                 ||432000
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||12.004.0336-08        |2008-12-31|MANDIRI FIESTA                ||143000000
H00004-SII  |HOTLINETAMA SARANA, PT                                      ||12.004.0337-08        |2008-12-31|NEO ENTROSTOP                 ||60720000
H00013-BTI  |HOTEL BIDAKARA                                              ||0906.00360            |2009-06-30|HOTEL BIDAKARA                ||18273750
H00026-BTI  |HOTEL PANGHEGAR BANDUNG                                     ||1005.00487            |2010-05-31|HOTEL PANGHEGAR               ||24725000
H00027-BTI  |HOTEL PANGERAN BEACH                                        ||1006.00109            |2010-06-30|HOTEL PANGERAN BEACH          ||14724999
H00037-BLI  |HANGGAYASA HUTAMA, PT                                       ||1012.00074            |2010-12-14|DINSOS DKI                    ||19000000
H00064-SII  |HAVAS ARENA INDONESIA, PT                                   ||2012.00112            |2020-12-31|INDOMIE                       |INDOFOOD CBP SUKSES MAKMUR TBK, PT                          |5000000
H00064-SII  |HAVAS ARENA INDONESIA, PT                                   ||2012.00230            |2020-12-31|INDOMIE                       |INDOFOOD CBP SUKSES MAKMUR TBK, PT                          |2627767
H00064-SII  |HAVAS ARENA INDONESIA, PT                                   ||2012.00231            |2020-12-31|INDOMIE                       |INDOFOOD CBP SUKSES MAKMUR TBK, PT                          |4971816
H00064-SII  |HAVAS ARENA INDONESIA, PT                                   ||2101.00124            |2021-01-31|INDOMIE                       |INDOFOOD CBP SUKSES MAKMUR TBK, PT                          |2000000
H00064-SII  |HAVAS ARENA INDONESIA, PT                                   ||2101.00177            |2021-01-31|INDOMIE                       |INDOFOOD CBP SUKSES MAKMUR TBK, PT                          |2001851
H00064-SII  |HAVAS ARENA INDONESIA, PT                                   ||2102.00184            |2021-02-28|INDOMIE                       |INDOFOOD CBP SUKSES MAKMUR TBK, PT                          |1740740
H00077-SII  |HIMPUNAN PENGUSAHA MUDA INDONESIA                           ||1806.00276            |2018-06-30|HIPMI                         |HIMPUNAN PENGUSAHA MUDA INDONESIA                           |10000000
H00080-SII  |H.ELVIN RAMLI                                               ||1812.00230            |2018-12-31|H.ELVIN RAMLI                 |H.ELVIN RAMLI                                               |50000000
H00080-SII  |H.ELVIN RAMLI                                               ||1901.00037            |2019-01-28|H.ELVIN RAMLI                 |H.ELVIN RAMLI                                               |450000000
H00083-SII  |HUTAMA KARYA                                                ||1908.00237            |2019-08-31|HUTAMA KARYA                  |HUTAMA KARYA (PERSERO). PT                                  |8000000
I00002-SII  |I MADE MUDARTA                                              ||06.004.0211-08        |2008-06-30|TIM SUKSES BALI               ||1500000
I00002-SII  |I MADE MUDARTA                                              ||07.004.0222-08        |2008-07-31|TIM SUKSES BALI               ||8500000
I00006-BLI  |INDIKA CIPTA MEDIA, PT                                      ||0905.00167            |2009-05-31|BEHIND THE SCENE              ||34999930
I00007-BLI  |INDIKA ENTERTAINMENT                                        ||06.004.0003-07        |2007-06-30|BEHIND THE SCENE              ||27500000
I00007-BTI  |INDIKA ENTERTAINMENT                                        ||011.004.0141-07       |2007-11-30|||238700000
I00007-BTI  |INDIKA ENTERTAINMENT                                        ||012.004.0035-07       |2007-12-31|||86900000
I00007-SII  |INDIKA ENTERTAINMENT                                        ||002.0040251-06        |2006-02-28|PROMO FILM                    ||30250000
I00007-SII  |INDIKA ENTERTAINMENT                                        ||010.0040394 -05       |2005-10-31|PROMO FILM                    ||30000000
I00008-KSI  |INDIKA TELEMEDIA MOBILE, PT                                 ||03.004.0239-07        |2007-03-31|SMS LIGINA                    ||10430200
I00008-KSI  |INDIKA TELEMEDIA MOBILE, PT                                 ||04.004.0182-07        |2007-04-30|SMS LIGINA                    ||11000000
I00012-KSI  |INDOSAT TBK.                                                ||004.0040002- 05       |2005-04-30|||71248980
I00012-KSI  |INDOSAT TBK.                                                ||009.0040005 -05       |2005-09-30|||8305776
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||006.0040236 -05       |2005-06-30|VITALAC 3                     ||65736000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||006.0040258-06        |2006-06-30|FRESTEA                       ||316800
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||006.0040309 -05       |2005-06-30|PROCOLD                       ||112200000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||0070040085 - 04       |2004-07-30|MOLTO SOFTENER                ||13062500
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||008.0040341 -05       |2005-08-31|CLEAR                         ||36300000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||008.0040363 -05       |2005-08-31|ADES                          ||28016322
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||010.0040143- 04       |2004-10-30|PEPSODENT CUSHION TB          ||16500000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||10.004.0087-08        |2008-10-05|KARTU AS                      ||1640412
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00018            |2021-02-24|DJI SAM SOE MAGNUM FILTER     |HANJAYA MANDALA SAMPOERNA TBK                               |21450000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00019            |2021-02-24|A MILD                        |HANJAYA MANDALA SAMPOERNA TBK                               |80454000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00020            |2021-02-24|MARLBORO FILTER BLACK         |HANJAYA MANDALA SAMPOERNA TBK                               |42900000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00021            |2021-02-24|KAPAL API BLACK               |SANTOS JAYA ABADI, PT                                       |107580000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00022            |2021-02-24|IMBOOST                       |SOHO INDUSTRI PHARMASI , PT                                 |43511600
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00034            |2021-02-24|MARLBORO FILTER BLACK         |HANJAYA MANDALA SAMPOERNA TBK                               |115434000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00095            |2021-02-28|SAMPOERNA 234                 |HANJAYA MANDALA SAMPOERNA TBK                               |20988000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00096            |2021-02-28|SAMPOERNA 234                 |HANJAYA MANDALA SAMPOERNA TBK                               |21450000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00097            |2021-02-28|SAMPOERNA 234                 |HANJAYA MANDALA SAMPOERNA TBK                               |80454000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00098            |2021-02-28|DJI SAM SOE MAGNUM FILTER     |HANJAYA MANDALA SAMPOERNA TBK                               |21450000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00099            |2021-02-28|DJI SAM SOE MAGNUM FILTER     |HANJAYA MANDALA SAMPOERNA TBK                               |7150000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00100            |2021-02-28|DJI SAM SOE MAGNUM FILTER     |HANJAYA MANDALA SAMPOERNA TBK                               |5830000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00101            |2021-02-28|DJI SAM SOE MAGNUM FILTER     |HANJAYA MANDALA SAMPOERNA TBK                               |34980000
I00013-SII  |INTER PARIWARA GLOBAL, PT                                   ||2102.00102            |2021-02-28|MARLBORO FILTER BLACK         |HANJAYA MANDALA SAMPOERNA TBK                               |41976000
